Row ID,Transaction Id (PK),Order ID,Order Date,Year,Month,Quarter,Ship Date,Shipping Delay,Shipping Speed,Ship Mode,Customer ID,Customer Name,Customer Type,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Order-Size,Sales Per Unit,Discount,Profit,Profit Margin,Loss Severity,Loss Flag,Order-Level Total Sales (Grouped by Order ID C),Customer Purchase Frequency (Customer ID = L),Total sales per customer,Discount Amount (Sales × Discount)
11,TXN-000011,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,FURNITURE,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,Large,189.58,20%,85.31,0.05,Profit,Profit,3714.29,24,6255.33,341.24
12,TXN-000012,CA-2014-115812,6/9/2014,2014,June,Q2,6/14/2014,5,Normal,Standard Class,BH-11710,Brosina Hoffman,Loyal,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,TECHNOLOGY,Phones,Konftel 250 Conference phone - Charcoal black,911.42,4,Large,227.86,20%,68.36,0.08,Profit,Profit,3714.29,24,6255.33,182.28
13,TXN-000013,CA-2017-114412,4/15/2017,2017,April,Q2,4/20/2017,5,Normal,Standard Class,AA-10480,Andrew Allen,Loyal,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,OFFICE SUPPLIES,Paper,Xerox 1967,15.55,3,Small,5.18,20%,5.44,0.35,Profit,Profit,15.55,12,1790.51,3.11
14,TXN-000014,CA-2016-161389,12/5/2016,2016,December,Q4,12/10/2016,5,Normal,Standard Class,IM-15070,Irene Maddox,Loyal,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,OFFICE SUPPLIES,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.98,3,Medium,135.99,20%,132.59,0.32,Profit,Profit,407.98,21,4930.49,81.6
15,TXN-000015,US-2015-118983,11/22/2015,2015,November,Q4,11/26/2015,4,Normal,Standard Class,HP-14815,Harold Pawlan,Loyal,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,OFFICE SUPPLIES,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5,Small,13.76,80%,-123.86,-1.8,Low Loss,Loss,71.35,10,1990.31,55.05
16,TXN-000016,US-2015-118983,11/22/2015,2015,November,Q4,11/26/2015,4,Normal,Standard Class,HP-14815,Harold Pawlan,Loyal,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,OFFICE SUPPLIES,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.54,3,Small,0.85,80%,-3.82,-1.5,Low Loss,Loss,71.35,10,1990.31,2.03
17,TXN-000017,CA-2014-105893,11/11/2014,2014,November,Q4,11/18/2014,7,Slow,Standard Class,PK-19075,Pete Kriz,Loyal,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,OFFICE SUPPLIES,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6,Large,110.98,0%,13.32,0.02,Profit,Profit,665.88,25,8646.93,0.0
18,TXN-000018,CA-2014-167164,5/13/2014,2014,May,Q2,5/15/2014,2,Fast,Second Class,AG-10270,Alejandro Grove,Loyal,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,OFFICE SUPPLIES,Storage,Fellowes Super Stor/Drawer,55.5,2,Small,27.75,0%,9.99,0.18,Profit,Profit,55.5,14,2582.9,0.0
19,TXN-000019,CA-2014-143336,8/27/2014,2014,August,Q3,9/1/2014,5,Normal,Second Class,ZD-21925,Zuschuss Donatelli,Occasional,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,OFFICE SUPPLIES,Art,Newell 341,8.56,2,Small,4.28,0%,2.48,0.29,Profit,Profit,244.76,9,1493.94,0.0
20,TXN-000020,CA-2014-143336,8/27/2014,2014,August,Q3,9/1/2014,5,Normal,Second Class,ZD-21925,Zuschuss Donatelli,Occasional,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,TECHNOLOGY,Phones,Cisco SPA 501G IP Phone,213.48,3,Medium,71.16,20%,16.01,0.07,Profit,Profit,244.76,9,1493.94,42.7
21,TXN-000021,CA-2014-143336,8/27/2014,2014,August,Q3,9/1/2014,5,Normal,Second Class,ZD-21925,Zuschuss Donatelli,Occasional,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,OFFICE SUPPLIES,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,Small,5.68,20%,7.38,0.32,Profit,Profit,244.76,9,1493.94,4.54
22,TXN-000022,CA-2016-137330,12/9/2016,2016,December,Q4,12/13/2016,4,Normal,Standard Class,KB-16585,Ken Black,Loyal,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,OFFICE SUPPLIES,Art,Newell 318,19.46,7,Small,2.78,0%,5.06,0.26,Profit,Profit,79.8,23,2744.74,0.0
23,TXN-000023,CA-2016-137330,12/9/2016,2016,December,Q4,12/13/2016,4,Normal,Standard Class,KB-16585,Ken Black,Loyal,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,OFFICE SUPPLIES,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7,Small,8.62,0%,15.69,0.26,Profit,Profit,79.8,23,2744.74,0.0
24,TXN-000024,US-2017-156909,7/16/2017,2017,July,Q3,7/18/2017,2,Fast,Second Class,SF-20065,Sandra Flanagan,Occasional,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,FURNITURE,Chairs,"Global Deluxe Stacking Chair, Gray",71.37,2,Small,35.68,30%,-1.02,-0.01,Low Loss,Loss,71.37,9,763.54,21.41
25,TXN-000025,CA-2015-106320,9/25/2015,2015,September,Q3,9/30/2015,5,Normal,Standard Class,EB-13870,Emily Burns,Loyal,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,FURNITURE,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,Large,348.21,0%,240.26,0.23,Profit,Profit,1044.63,11,2767.22,0.0
26,TXN-000026,CA-2016-121755,1/16/2016,2016,January,Q1,1/20/2016,4,Normal,Second Class,EH-13945,Eric Hoffmann,Loyal,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,OFFICE SUPPLIES,Binders,Wilson Jones Active Use Binders,11.65,2,Small,5.82,20%,4.22,0.36,Profit,Profit,102.22,17,684.18,2.33
27,TXN-000027,CA-2016-121755,1/16/2016,2016,January,Q1,1/20/2016,4,Normal,Second Class,EH-13945,Eric Hoffmann,Loyal,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,TECHNOLOGY,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,Small,30.19,0%,11.77,0.13,Profit,Profit,102.22,17,684.18,0.0
28,TXN-000028,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,FURNITURE,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7,Large,440.49,50%,-1665.05,-0.54,High Loss,Loss,3329.43,20,4737.48,1541.72
29,TXN-000029,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,OFFICE SUPPLIES,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.62,2,Small,4.81,70%,-7.05,-0.73,Low Loss,Loss,3329.43,20,4737.48,6.73
30,TXN-000030,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,FURNITURE,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3,Medium,41.4,20%,15.52,0.12,Profit,Profit,3329.43,20,4737.48,24.84
31,TXN-000031,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,OFFICE SUPPLIES,Envelopes,Poly String Tie Envelopes,3.26,2,Small,1.63,20%,1.1,0.34,Profit,Profit,3329.43,20,4737.48,0.65
32,TXN-000032,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,OFFICE SUPPLIES,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.3,6,Small,14.38,20%,9.71,0.11,Profit,Profit,3329.43,20,4737.48,17.26
33,TXN-000033,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,OFFICE SUPPLIES,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.86,6,Small,1.14,70%,-5.72,-0.83,Low Loss,Loss,3329.43,20,4737.48,4.8
34,TXN-000034,US-2015-150630,9/17/2015,2015,September,Q3,9/21/2015,4,Normal,Standard Class,TB-21520,Tracy Blumstein,Loyal,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,OFFICE SUPPLIES,Art,Lumber Crayons,15.76,2,Small,7.88,20%,3.55,0.23,Profit,Profit,3329.43,20,4737.48,3.15
35,TXN-000035,CA-2017-107727,10/19/2017,2017,October,Q4,10/23/2017,4,Normal,Second Class,MA-17560,Matt Abelman,Loyal,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,OFFICE SUPPLIES,Paper,Easy-staple paper,29.47,3,Small,9.82,20%,9.95,0.34,Profit,Profit,29.47,34,4299.16,5.89
36,TXN-000036,CA-2016-117590,12/8/2016,2016,December,Q4,12/10/2016,2,Fast,First Class,GH-14485,Gene Hale,Occasional,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,TECHNOLOGY,Phones,GE 30524EE4,1097.54,7,Large,156.79,20%,123.47,0.11,Profit,Profit,1288.46,3,1361.24,219.51
37,TXN-000037,CA-2016-117590,12/8/2016,2016,December,Q4,12/10/2016,2,Fast,First Class,GH-14485,Gene Hale,Occasional,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,FURNITURE,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5,Medium,38.18,60%,-147.96,-0.77,Low Loss,Loss,1288.46,3,1361.24,114.55
38,TXN-000038,CA-2015-117415,12/27/2015,2015,December,Q4,12/31/2015,4,Normal,Standard Class,SN-20710,Steve Nguyen,Loyal,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,OFFICE SUPPLIES,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.33,9,Medium,12.59,20%,35.42,0.31,Profit,Profit,1228.96,19,3127.97,22.67
39,TXN-000039,CA-2015-117415,12/27/2015,2015,December,Q4,12/31/2015,4,Normal,Standard Class,SN-20710,Steve Nguyen,Loyal,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,FURNITURE,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.4,3,Large,177.47,32%,-46.98,-0.09,Low Loss,Loss,1228.96,19,3127.97,170.37
40,TXN-000040,CA-2015-117415,12/27/2015,2015,December,Q4,12/31/2015,4,Normal,Standard Class,SN-20710,Steve Nguyen,Loyal,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,FURNITURE,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.06,3,Medium,70.69,30%,-15.15,-0.07,Low Loss,Loss,1228.96,19,3127.97,63.62
41,TXN-000041,CA-2015-117415,12/27/2015,2015,December,Q4,12/31/2015,4,Normal,Standard Class,SN-20710,Steve Nguyen,Loyal,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,TECHNOLOGY,Phones,Plantronics HL10 Handset Lifter,371.17,4,Medium,92.79,20%,41.76,0.11,Profit,Profit,1228.96,19,3127.97,74.23
42,TXN-000042,CA-2017-120999,9/10/2017,2017,September,Q3,9/15/2017,5,Normal,Standard Class,LC-16930,Linda Cazamias,Loyal,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,TECHNOLOGY,Phones,Panasonic Kx-TS550,147.17,4,Medium,36.79,20%,16.56,0.11,Profit,Profit,147.17,14,4492.94,29.43
43,TXN-000043,CA-2016-101343,7/17/2016,2016,July,Q3,7/22/2016,5,Normal,Standard Class,RA-19885,Ruben Ausman,Loyal,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,OFFICE SUPPLIES,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,Small,38.94,0%,3.89,0.05,Profit,Profit,77.88,15,3832.32,0.0
44,TXN-000044,CA-2017-139619,9/19/2017,2017,September,Q3,9/23/2017,4,Normal,Standard Class,ES-14080,Erin Smith,Loyal,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,OFFICE SUPPLIES,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.62,2,Small,47.81,20%,9.56,0.1,Profit,Profit,95.62,20,4657.93,19.12
45,TXN-000045,CA-2016-118255,3/11/2016,2016,March,Q1,3/13/2016,2,Fast,First Class,ON-18715,Odella Nelson,Loyal,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,TECHNOLOGY,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2,Small,22.99,0%,19.77,0.43,Profit,Profit,63.44,15,1567.52,0.0
46,TXN-000046,CA-2016-118255,3/11/2016,2016,March,Q1,3/13/2016,2,Fast,First Class,ON-18715,Odella Nelson,Loyal,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,OFFICE SUPPLIES,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2,Small,8.73,0%,8.21,0.47,Profit,Profit,63.44,15,1567.52,0.0
47,TXN-000047,CA-2014-146703,10/20/2014,2014,October,Q4,10/25/2014,5,Normal,Second Class,PO-18865,Patrick O'Donnell,Loyal,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,OFFICE SUPPLIES,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,Medium,52.99,0%,8.48,0.04,Profit,Profit,211.96,13,2493.22,0.0
48,TXN-000048,CA-2016-169194,6/20/2016,2016,June,Q2,6/25/2016,5,Normal,Standard Class,LH-16900,Lena Hernandez,Loyal,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,TECHNOLOGY,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,3,Small,15.0,0%,4.95,0.11,Profit,Profit,66.8,15,2295.32,0.0
49,TXN-000049,CA-2016-169194,6/20/2016,2016,June,Q2,6/25/2016,5,Normal,Standard Class,LH-16900,Lena Hernandez,Loyal,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,TECHNOLOGY,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2,Small,10.9,0%,6.1,0.28,Profit,Profit,66.8,15,2295.32,0.0
50,TXN-000050,CA-2015-115742,4/18/2015,2015,April,Q2,4/22/2015,4,Normal,Standard Class,DP-13000,Darren Powers,Loyal,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,OFFICE SUPPLIES,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6,Small,6.37,0%,17.96,0.47,Profit,Profit,209.55,17,1050.63,0.0
51,TXN-000051,CA-2015-115742,4/18/2015,2015,April,Q2,4/22/2015,4,Normal,Standard Class,DP-13000,Darren Powers,Loyal,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,OFFICE SUPPLIES,Labels,Avery 485,75.18,6,Small,12.53,0%,35.33,0.47,Profit,Profit,209.55,17,1050.63,0.0
52,TXN-000052,CA-2015-115742,4/18/2015,2015,April,Q2,4/22/2015,4,Normal,Standard Class,DP-13000,Darren Powers,Loyal,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,FURNITURE,Furnishings,Longer-Life Soft White Bulbs,6.16,2,Small,3.08,0%,2.96,0.48,Profit,Profit,209.55,17,1050.63,0.0
53,TXN-000053,CA-2015-115742,4/18/2015,2015,April,Q2,4/22/2015,4,Normal,Standard Class,DP-13000,Darren Powers,Loyal,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,FURNITURE,Chairs,"Global Leather Task Chair, Black",89.99,1,Small,89.99,0%,17.1,0.19,Profit,Profit,209.55,17,1050.63,0.0
54,TXN-000054,CA-2016-105816,12/11/2016,2016,December,Q4,12/17/2016,6,Normal,Standard Class,JM-15265,Janet Molinari,Loyal,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,OFFICE SUPPLIES,Fasteners,Advantus Push Pins,15.26,7,Small,2.18,0%,6.26,0.41,Profit,Profit,1045.21,13,1804.14,0.0
55,TXN-000055,CA-2016-105816,12/11/2016,2016,December,Q4,12/17/2016,6,Normal,Standard Class,JM-15265,Janet Molinari,Loyal,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,TECHNOLOGY,Phones,AT&T CL83451 4-Handset Telephone,1029.95,5,Large,205.99,0%,298.69,0.29,Profit,Profit,1045.21,13,1804.14,0.0
56,TXN-000056,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,OFFICE SUPPLIES,Storage,Home/Office Personal File Carts,208.56,6,Medium,34.76,0%,52.14,0.25,Profit,Profit,655.09,18,1467.89,0.0
57,TXN-000057,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,OFFICE SUPPLIES,Paper,Xerox 232,32.4,5,Small,6.48,0%,15.55,0.48,Profit,Profit,655.09,18,1467.89,0.0
58,TXN-000058,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,FURNITURE,Chairs,Novimex Turbo Task Chair,319.41,5,Medium,63.88,10%,7.1,0.02,Profit,Profit,655.09,18,1467.89,31.94
59,TXN-000059,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,OFFICE SUPPLIES,Paper,"Array Parchment Paper, Assorted Colors",14.56,2,Small,7.28,0%,6.99,0.48,Profit,Profit,655.09,18,1467.89,0.0
60,TXN-000060,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,TECHNOLOGY,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,2,Small,15.0,0%,3.3,0.11,Profit,Profit,655.09,18,1467.89,0.0
61,TXN-000061,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,OFFICE SUPPLIES,Binders,Plastic Binding Combs,48.48,4,Small,12.12,20%,16.36,0.34,Profit,Profit,655.09,18,1467.89,9.7
62,TXN-000062,CA-2016-111682,6/17/2016,2016,June,Q2,6/18/2016,1,Fast,First Class,TB-21055,Ted Butterfield,Loyal,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,OFFICE SUPPLIES,Art,Prang Dustless Chalk Sticks,1.68,1,Small,1.68,0%,0.84,0.5,Profit,Profit,655.09,18,1467.89,0.0
63,TXN-000063,CA-2015-135545,11/24/2015,2015,November,Q4,11/30/2015,6,Normal,Standard Class,KM-16720,Kunst Miller,Loyal,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,TECHNOLOGY,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2,Small,6.99,0%,6.15,0.44,Profit,Profit,266.29,28,4909.47,0.0
64,TXN-000064,CA-2015-135545,11/24/2015,2015,November,Q4,11/30/2015,6,Normal,Standard Class,KM-16720,Kunst Miller,Loyal,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,OFFICE SUPPLIES,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.82,6,Small,4.3,20%,9.36,0.36,Profit,Profit,266.29,28,4909.47,5.16
65,TXN-000065,CA-2015-135545,11/24/2015,2015,November,Q4,11/30/2015,6,Normal,Standard Class,KM-16720,Kunst Miller,Loyal,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,OFFICE SUPPLIES,Paper,Xerox 1943,146.73,3,Medium,48.91,0%,68.96,0.47,Profit,Profit,266.29,28,4909.47,0.0
66,TXN-000066,CA-2015-135545,11/24/2015,2015,November,Q4,11/30/2015,6,Normal,Standard Class,KM-16720,Kunst Miller,Loyal,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,FURNITURE,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4,Small,19.94,0%,22.33,0.28,Profit,Profit,266.29,28,4909.47,0.0
67,TXN-000067,US-2015-164175,4/30/2015,2015,April,Q2,5/5/2015,5,Normal,Standard Class,PS-18970,Paul Stevenson,Loyal,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,FURNITURE,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.12,5,Medium,42.62,30%,-15.22,-0.07,Low Loss,Loss,213.12,13,1278.65,63.94
68,TXN-000068,CA-2014-106376,12/5/2014,2014,December,Q4,12/10/2014,5,Normal,Standard Class,BS-11590,Brendan Sweed,Loyal,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,OFFICE SUPPLIES,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,Large,139.13,20%,111.3,0.1,Profit,Profit,1280.99,10,2454.93,222.6
69,TXN-000069,CA-2014-106376,12/5/2014,2014,December,Q4,12/10/2014,5,Normal,Standard Class,BS-11590,Brendan Sweed,Loyal,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,TECHNOLOGY,Phones,netTALK DUO VoIP Telephone Service,167.97,4,Medium,41.99,20%,62.99,0.38,Profit,Profit,1280.99,10,2454.93,33.59
